r	∅	67
		im-pə-1ɾeʎ+Masc	im-pə-1ɾɛʎ	im-pə-1ɾeʎ
		i-zu-1term+Masc	i-zu-1tɛrm	i-zu-1term
		bi-kum-1beks+Masc	bi-kum-1bɛks	bi-kum-1beks
		i-1nep-tə+Masc	i-1nɛp-tə	i-1nep-tə
		rə-1fleks+Masc	rə-1flɛks	rə-1fleks
		pər-1pleks+Masc	pər-1plɛks	pər-1pleks
		im-1fleks+Masc	im-1flɛks	im-1fleks
		im-1pleks+Masc	im-1plɛks	im-1pleks
		su-1leʎ+Masc	su-1lɛʎ	su-1leʎ
		kun-1neks+Masc	kun-1nɛks	kun-1neks
		kum-1beks+Masc	kum-1bɛks	kum-1beks
		ən-1neks+Masc	ən-1nɛks	ən-1neks
		1peɡ+Masc	1pɛk	1pek
		1kek+Masc	1kɛk	1kek
		1kɾesp+Masc	1kɾɛsp	1kɾesp
∅	u	15
		ə-tə-1ɾɔ-luɡ+Masc	ə-tə-1ɾɔ-lək	ə-tə-1ɾɔ-luk
		mə-1ɾi-nu+Fem	mə-1ɾi-nə	mə-1ɾi-nu-ə
		ʒi-1ta-nu+Fem	ʒi-1ta-nə	ʒi-1ta-nu-ə
		ə-1na-luɡ+Masc	ə-1na-lək	ə-1na-luk
		kuʎ-1tɔrt+Masc	kɔʎ-1tɔrt	kuʎ-1tɔrt
		1ʃa-tu+Fem	1ʃa-tə	1ʃa-tu-ə
		1ma-ku+Fem	1ma-kə	1ma-ku-ə
		1ɡɛ-tu+Fem	1ɡɛ-tə	1ɡɛ-tu-ə
		1ɡɛ-ɲu+Fem	1ɡɛ-ɲə	1ɡɛ-ɲu-ə
		1ɡwa-pu+Fem	1ɡwa-pə	1ɡwa-pu-ə
		1dɾɔ-pu+Fem	1dɾɔ-pə	1dɾɔ-pu-ə
		1som-pu+Fem	1som-pə	1som-pu-ə
		1ki-ku+Fem	1ki-kə	1ki-ku-ə
		1koŋ-ku+Fem	1koŋ-kə	1koŋ-ku-ə
		1bam-bu+Fem	1bam-bə	1bam-bu-ə
u	∅	12
		in-di-1βi-ðu+Fem	in-di-1βi-ðu-ə	in-di-1βi-ðə
		mə-1li-flu+Fem	mə-1li-flu-ə	mə-1li-f-lə
		iŋ-1kɔŋ-ɡɾu+Fem	iŋ-1kɔŋ-ɡɾu-ə	iŋ-1kɔŋ-ɡɾə
		də-1si-ðu+Fem	də-1si-ðu-ə	də-1si-ðə
		ə-1si-ðu+Fem	ə-1si-ðu-ə	ə-1si-ðə
		nə-1ðiw+Masc	nə-1ðiuw	nə-1ðiw
		ʒə-1liw+Masc	ʒə-1liuw	ʒə-1liw
		bə-1βaw+Masc	bə-1βauw	bə-1βaw
		əs-1kɾu+Fem	əs-1kɾu-ə	əs-1kɾə
		1kɔŋ-ɡɾu+Fem	1kɔŋ-ɡɾu-ə	1kɔŋ-ɡɾə
		1bi-ðu+Fem	1bi-ðu-ə	1bi-ðə
		1aɾ-ðu+Fem	1aɾ-ðu-ə	1aɾ-ðə
ɔ	o	10
