bi-kum-1beks+Fem	bi-kum-1bɛksə	bi-kum-1bek-sə
		
[Inflection][WordFinObstruentDevoicing]		
UR	Predicted SR	Correct SR
mi-1zɔ-luɡ+Masc	mi-1zɔ-luk	mi-1zɔ-lək
ma-li-1koz+Masc	ma-li-1kos	mə-li-1kos
ma-ləŋ-ku-ni-1oz+Masc	ma-ləŋ-ku-ni-1os	mə-ləŋ-ku-ni-1os
tut-pu-ðə-1ɾoz+Masc	tut-pu-ðə-1ɾos	tot-pu-ðə-1ɾos
ə-tə-1ɾɔ-luɡ+Masc	ə-tə-1ɾɔ-luk	ə-tə-1ɾɔ-lək
ə-1na-luɡ+Masc	ə-1na-luk	ə-1na-lək
əz-mə-pəɾ-1ðud+Masc	əz-mə-pəɾ-1ðut	ɛz-mə-pəɾ-1ðut
əv-ɣə-1nɛz+Masc	əv-ɣə-1nɛs	əv-1ɣa
pi-kə-1ʎɔz+Masc	pi-kə-1ʎɔs	pi-kə-1ʎos
plə-nu-1kɔŋ-kəb+Masc	plə-nu-1kɔŋ-kəp	plə-nu-1kɔŋ-kəuw
plɔ-ɾə-1ʎɔz+Masc	plɔ-ɾə-1ʎɔs	plɔ-ɾə-1ʎos
sə-1ɾjoz+Masc	sə-1ɾjos	sə-ɾi-1os
surd-1mud+Masc	surd-1mut	sor-1mut
ɡə-rə-ti-1βad+Masc	ɡə-rə-ti-1βat	ɡa-rə-ti-1βat
u-1mɔ-luɡ+Masc	u-1mɔ-luk	u-1mɔ-lək
rə-li-1ʒjoz+Masc	rə-li-1ʒjos	rə-li-ʒi-1os
1kɔŋ-kəb+Masc	1kɔŋ-kəp	1kɔŋ-kəuw
1tez+Masc	1tes	təs
1peɡ+Masc	1pek	1pɛk
1ɡod+Masc	1ɡot	1ɡɔt
1lɛz+Masc	1lɛs	ləs
bi-1kɔŋ-kəb+Masc	bi-1kɔŋ-kəp	bi-1kɔŋ-kəuw
bəɾ-βə-flu-1ɾid+Masc	bəɾ-βə-flu-1ɾit	baɾ-βə-flu-1ɾit
bəɾ-βə-1kloz+Masc	bəɾ-βə-1klos	bəɾ-βə-1klɔs
bu-tə-1nɛz+Masc	bu-tə-1nɛs	bu-tə-1nes
ʎəm-fə-1ɾid+Masc	ʎəm-fə-1ɾit	ʎam-fə-1ɾit
		
[Inflection][HomDeletion]		
UR	Predicted SR	Correct SR
kə-βəʎ-1βlaŋk+Masc	kə-βəʎ-1βlaŋ	kə-βɛʎ-1βlaŋ
kum-1buls+Masc	kum-1bul	kum-1buls
im-1mɛns+Masc	im-1mɛn	im-1mɛns
i-pər-1tɛns+Masc	i-pər-1tɛn	i-pər-1tɛns
i-pu-1tɛns+Masc	i-pu-1tɛn	i-pu-1tɛns
i-nəks-1tɛns+Masc	i-nəks-1tɛn	i-nəks-1tɛns
i-rə-1zɔlt+Masc	i-rə-1zɔl	i-rə-1zɔlt
in-1tons+Masc	in-1ton	in-1tons
in-1tɛns+Masc	in-1tɛn	in-1tɛns
in-1suls+Masc	in-1sul	in-1suls
in-də-1fɛns+Masc	in-də-1fɛn	in-də-1fɛns
ək-1sɛls+Masc	ək-1sɛl	ək-1sɛls
əks-1tɛns+Masc	əks-1tɛn	əks-1tɛns
pɾu-1pɛns+Masc	pɾu-1pɛn	pɾu-1pɛns
pɾe-ək-1sɛls+Masc	pɾe-ək-1sɛl	pɾe-ək-1sɛls
sə-ʎə-1ʒunt+Masc	sə-ʎə-1ʒun	sɛ-ʎə-1ʒun
sus-1pɛns+Masc	sus-1pɛn	sus-1pɛns
u-1kult+Masc	u-1kul	u-1kult
ru-1manʃ+Masc	ru-1man	ru-1manʃ
a-ɣɾə-1ðols+Masc	a-ɣɾə-1ðol	a-ɣɾə-1ðols
1mans+Masc	1man	1mans
1tɛns+Masc	1tɛn	1tens
1fals+Masc	1fal	1fals
1sɔlt+Masc	1sɔl	1sɔlt
1dols+Masc	1dol	1dols
1dɛns+Masc	1dɛn	1dɛns
bəɾ-βəb-1blaŋk+Masc	bəɾ-βəb-1blaŋ	baɾ-βə-1βlaŋ
də-zim-1bɔlt+Masc	də-zim-1bɔl	də-zim-1bɔlt
dəs-1kals+Masc	dəs-1kal	dəs-1kals
		
[Inflection][VocDeletion]		
UR	Predicted SR	Correct SR
kun-1ti-nu+Fem	kun-1ti-nə	kun-1ti-nu-ə
kuns-1pi-ku+Fem	kuns-1pi-kə	kuns-1pi-ku-ə
iŋ-kuns-1pi-ku+Fem	iŋ-kuns-1pi-kə	iŋ-kuns-1pi-ku-ə
iŋ-1kɔŋ-ɡɾu+Fem	iŋ-1kɔŋ-ɡɾə	iŋ-1kɔŋ-ɡɾu-ə
in-1nɔ-ku+Fem	in-1nɔ-kə	in-1nɔ-ku-ə
in-1ʒɛ-nu+Fem	in-1ʒɛ-nə	in-1ʒɛ-nu-ə
in-di-1βi-ðu+Fem	in-di-1βi-ðə	in-di-1βi-ðu-ə
mə-1li-flu+Fem	mə-1li-flə	mə-1li-flu-ə
ə-1si-ðu+Fem	ə-1si-ðə	ə-1si-ðu-ə
əs-1kɾu+Fem	əs-1kɾə	əs-1kɾu-ə
əs-1tɾɛ-nu+Fem	əs-1tɾɛ-nə	əs-1tɾɛ-nu-ə
pər-1pɛ-tu+Fem	pər-1pɛ-tə	pər-1pɛ-tu-ə
pərs-1pi-ku+Fem	pərs-1pi-kə	pərs-1pi-ku-ə
pɾə-1si-pu+Fem	pɾə-1si-pə	pɾə-1si-pu-ə
pɾu-1mis-ku+Fem	pɾu-1mis-kə	pɾu-1mis-ku-ə
pɾu-1fi-ku+Fem	pɾu-1fi-kə	pɾu-1fi-ku-ə
su-1pɛr-flu+Fem	su-1pɛr-flə	su-1pɛr-flu-ə
uk-1si-ðu+Fem	uk-1si-ðə	uk-1si-ðu-ə
1kɾu+Fem	1kɾə	1kɾu-ə
1kɔŋ-ɡɾu+Fem	1kɔŋ-ɡɾə	1kɔŋ-ɡɾu-ə
1mu-tu+Fem	1mu-tə	1mu-tu-ə
1fa-tu+Fem	1fa-tə	1fa-tu-ə
1fo-fu+Fem	1fo-fə	1fɔ-fə
1nu+Fem	1nə	1nu-ə
1aɾ-ðu+Fem	1aɾ-ðə	1aɾ-ðu-ə
1bi-ðu+Fem	1bi-ðə	1bi-ðu-ə
1ba-ku+Fem	1ba-kə	1ba-ku-ə
dis-kun-1ti-nu+Fem	dis-kun-1ti-nə	dis-kun-1ti-nu-ə
də-1si-ðu+Fem	də-1si-ðə	də-1si-ðu-ə
		
[Inflection][SonCorDeletion][Syllabify0]		
UR	Predicted SR	Correct SR
kə-ɾə-1βɾun+Masc	kə-ɾə-1β-ɾu	kə-ɾə-1βɾu
kəuw-li-1floɾ+Masc	kəuw-li-1f-lo	kəuw-li-1flo
ku-ɾu-li-1floɾ+Masc	ku-ɾu-li-1f-lo	ku-ɾu-li-1flo
iz-rə-e-1ljan+Masc	iz-rə-e-1l-ja	iz-rə-e-1lja
mul-ti-1flɔɾ+Masc	mul-ti-1f-lɔ	mul-ti-1flɔ
mo-nə-nə-1ɣɾin+Masc	mo-nə-nə-1ɣ-ɾi	mo-nə-nə-1ɣɾi
tu-βi-1floɾ+Masc	tu-βi-1f-lo	tu-βi-1flo
tu-βu-li-1floɾ+Masc	tu-βu-li-1f-lo	tu-βu-li-1flo
ə-1ɣɾeɾ+Masc	ə-1ɣ-ɾe	ə-1ɣɾe
fə-1ðɾin+Masc	fə-1ð-ɾi	fə-1ðɾi
pə-ɾə-1ɣɾin+Masc	pə-ɾə-1ɣ-ɾi	pə-ɾə-1ɣɾi
pə-lə-1ɣɾin+Masc	pə-lə-1ɣ-ɾi	pə-lə-1ɣɾi
pəuw-si-1floɾ+Masc	pəuw-si-1f-lo	pəuw-si-1flo
sə-1ðɾin+Masc	sə-1ð-ɾi	sə-1ðɾi
su-1βɾeɾ+Masc	su-1β-ɾe	su-1βɾe
ɡlu-mi-1floɾ+Masc	ɡlu-mi-1f-lo	ɡlu-mi-1flo
uk-tu-1βɾeɾ+Masc	uk-tu-1β-ɾe	uk-tu-1βɾe
u-ni-1floɾ+Masc	u-ni-1f-lo	u-ni-1flo
u-1βɾeɾ+Masc	u-1β-ɾe	u-1βɾe
nə-1ɣɾeɾ+Masc	nə-1ɣ-ɾe	nə-1ɣɾe
rə-mi-1floɾ+Masc	rə-mi-1f-lo	rə-mi-1flo
li-ɣu-li-1floɾ+Masc	li-ɣu-li-1f-lo	li-ɣu-li-1flo
bi-nə-1ɣɾeɾ+Masc	bi-nə-1ɣ-ɾe	bi-nə-1ɣɾe
bə-lə-1ðɾeɾ+Masc	bə-lə-1ð-ɾe	bə-lə-1ðɾe
bu-ti-1fleɾ+Masc	bu-ti-1f-le	bu-ti-1fle
ʎi-1βɾeɾ+Masc	ʎi-1β-ɾe	ʎi-1βɾe
ʎə-1βɾeɾ+Masc	ʎə-1β-ɾe	ʎə-1βɾe
ʒi-nə-1βɾin+Masc	ʒi-nə-1β-ɾi	ʒi-nə-1βɾi
